NOMBRE|EDAD|VALORACION_GENERAL|POTENCIAL|EQUIPO_ACTUAL|CONTRATO|ID_JUGADOR|PIE_FAVORITO|MEJOR_POSICION|SRC_JUGADOR|EQUIPO|URL_EQUIPO|ID_EQUIPO|SRC_LOGO|SRC_FLAG|PJE_GLOBAL|PJE_ATAQUE|PJE_MEDIOCAMPO|PJE_DEFENSA|GRUPO|PUESTO|PTS|PJ|PG|PE|PP|DG|INSTANCIA_ALCANZADA|MEJOR_POSICION_DESC|PESO (KG)|ALTURA (CM)|ICM (KG/M^2)
S. Al Sheeb|32|70|70|GK|2022 ~ 2025|180548|Derecho|GK|https://cdn.sofifa.net/players/180/548/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Portero|79|188|22.351742870076958
Pedro Miguel|31|71|71|RWB|2022 ~ 2027|268781|Derecho|RWB|https://cdn.sofifa.net/players/268/781/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Carrillero Derecho|76|180|23.456790123456788
B. Al Rawi|24|71|77|RCB|2022 ~ 2027|268782|Derecho|CB|https://cdn.sofifa.net/players/268/782/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Defensa Central|74|175|24.163265306122447
B. Khoukhi|31|74|74|CB|2022 ~ 2027|268771|Derecho|CB|https://cdn.sofifa.net/players/268/771/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Defensa Central|76|185|22.205989773557338
A. Hassan|28|73|73|LCB|2018 ~ 2025|239861|Izquierdo|LWB|https://cdn.sofifa.net/players/239/861/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Carrillero Izquierdo|81|185|23.66691015339664
H. Ahmed|22|71|78|LWB|2022 ~ 2027|268776|Izquierdo|LWB|https://cdn.sofifa.net/players/268/776/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Carrillero Izquierdo|75|188|21.22000905387053
K. Boudiaf|31|73|73|RCM|2022 ~ 2027|268778|Derecho|CM|https://cdn.sofifa.net/players/268/778/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Medio Centro|85|190|23.545706371191137
A. Hatem|31|73|73|LCM|2022 ~ 2027|215911|Izquierdo|CM|https://cdn.sofifa.net/players/215/911/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Medio Centro|76|182|22.944088878154812
H. Al Haydos|31|73|73|RW|2022 ~ 2025|180561|Derecho|RW|https://cdn.sofifa.net/players/180/561/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Extremo Derecho|66|174|21.79944510503369
A. Ali|25|74|77|ST|2022 ~ 2027|268772|Derecho|ST|https://cdn.sofifa.net/players/268/772/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Delantero Centro|69|180|21.296296296296294
