NOMBRE|EDAD|VALORACION GENERAL|POTENCIAL|EQUIPO Y CONTRATO|ID_JUGADOR|ALTURA|PESO|PIE FAVORITO|MEJOR POSICION|VALOR|SALARIO|SRC_JUGADOR|EQUIPO|URL_EQUIPO|ID_EQUIPO|SRC_LOGO|SRC_FLAG|PJE_GLOBAL|PJE_ATAQUE|PJE_MEDIOCAMPO|PJE_DEFENSA|GRUPO|PUESTO|PTS|PJ|PG|PE|PP|DG|INSTANCIA ALCANZADA
S. Al SheebGK|32|70|70|"GK (1)
2022 ~ 2025"|180548|"188cm / 6'2"""|79kg / 174lbs|Right|GK|€0|€0|https://cdn.sofifa.net/players/180/548/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
Pedro MiguelRWB RB CB|31|71|71|"RWB (2)
2022 ~ 2027"|268781|"180cm / 5'11"""|76kg / 168lbs|Right|RWB|€0|€0|https://cdn.sofifa.net/players/268/781/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
B. Al RawiCB|24|71|77|"RCB (15)
2022 ~ 2027"|268782|"175cm / 5'9"""|74kg / 163lbs|Right|CB|€0|€0|https://cdn.sofifa.net/players/268/782/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
B. KhoukhiCB CDM|31|74|74|"CB (16)
2022 ~ 2027"|268771|"185cm / 6'1"""|76kg / 168lbs|Right|CB|€0|€0|https://cdn.sofifa.net/players/268/771/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
A. HassanLWB LB CB|28|73|73|"LCB (3)
2018 ~ 2025"|239861|"185cm / 6'1"""|81kg / 179lbs|Left|LWB|€0|€0|https://cdn.sofifa.net/players/239/861/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
H. AhmedLWB LB|22|71|78|"LWB (14)
2022 ~ 2027"|268776|"188cm / 6'2"""|75kg / 165lbs|Left|LWB|€0|€0|https://cdn.sofifa.net/players/268/776/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
K. BoudiafCM CDM|31|73|73|"RCM (12)
2022 ~ 2027"|268778|"190cm / 6'3"""|85kg / 187lbs|Right|CM|€0|€0|https://cdn.sofifa.net/players/268/778/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
A. HatemCM CDM|31|73|73|"LCM (6)
2022 ~ 2027"|215911|"182cm / 6'0"""|76kg / 168lbs|Left|CM|€0|€0|https://cdn.sofifa.net/players/215/911/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
H. Al HaydosRW CF LW|31|73|73|"RW (10)
2022 ~ 2025"|180561|"174cm / 5'9"""|66kg / 146lbs|Right|RW|€0|€0|https://cdn.sofifa.net/players/180/561/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
A. AliST|25|74|77|"ST (19)
2022 ~ 2027"|268772|"180cm / 5'11"""|69kg / 152lbs|Right|ST|€0|€0|https://cdn.sofifa.net/players/268/772/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
A. AfifLW CF CAM|25|77|80|"LW (11)
2020 ~ 2025"|234051|"176cm / 5'9"""|70kg / 154lbs|Right|RM|€0|€0|https://cdn.sofifa.net/players/234/051/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
M. MuntariST|28|68|68|"SUB (9)
2022 ~ 2027"|268780|"192cm / 6'4"""|77kg / 170lbs|Right|ST|€0|€0|https://cdn.sofifa.net/players/268/780/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
